Name	Address_Street	Address_City	Address_State	Address_ZipCode	Address_Country	GovernmentNumber	PrimaryPhone	SecondaryPhone	Email	NaicsCode	Private	DepositsCount	DepositsBal
Ridgewood Press	1331 E Edinger Ave	Santa Ana	CA	92705	USA	14-1235460	714-667-9444	714-667-9281	wyatt@paddock.com	236115	Y		215122.24
Founders Title Co Placer Co	10190 Bannock St	Denver	CO	80221	USA	15-1235680	303-452-6161	303-452-6249	delilah@leonides.com	541211		1	57759.86
National Fishery Research Cntr	2185 S Jason St	Denver	CO	80223	USA	15-1235734	303-934-7761	303-934-3619	adriana@shorten.com	112111			200.79
Bens Iron Works	9625 E Arapahoe Rd #-l	Englewood	CO	80112	USA	15-1235678	303-649-0525	303-649-5773	conrad@rosu.com	531120			476172.52
Internal Medicine Clinic	1604 S 21st St	Colorado Springs	CO	80904	USA	15-1235679	719-633-3890	719-633-7744	lenore@chopra.com	311822	Y		241.03
Mega Allied Services	55892 Jacksonville Rd	Owings Mills	MD	21117	USA	29-1236967	410-224-9462	410-916-8015	gkulzer@kulzer.org	238310		1	
Protecta Pack Systems	Quebec	Littleton	CO	80126	USA	15-1235736	303-694-1154	303-694-7571	sophia@lansang.com	541110		2	110467.81
WM Moyer Co	1107 Kenilworth Dr	Towson	MD	21204	USA	29-1236959	410-821-6217	410-821-4466	angelia@scampoli.com	541370			111793.70
QA Service	6 Kains Ave	Baltimore	MD	21215	USA	29-1236966	410-520-4832	410-957-6903	laurel_reitler@reitler.com	924120			244254.95
Expert Object Corp	3929 Tennyson St	Denver	CO	80212	USA	15-1235681	303-458-8176	303-458-8696	rose@kuokkanen.com	541110			800.45
Verdin Co	3031 E 40th Ave	Denver	CO	80205	USA	15-1235732	303-377-9137	303-377-3683	polly@gabard.com	531120			2033.71
Haas Publishing Companies Inc	1043 Taft St	Rockville	MD	20850	USA	29-1236878	301-762-7679	301-762-1027	caitlin@zarnick.com	813410			51.89
Campbell Tob Rehandling Co Inc	16 E Fayette St	Baltimore	MD	21202	USA	29-1236881	410-385-5328	410-385-7847	scot@mccrimon.com	115114	Y		9500.00
Smith, Rebecca M Cpa	3577 S Santa Fe Dr	Englewood	CO	80110	USA	15-1235683	303-781-4333	303-781-2771	summer@belts.com	112111			423093.51
Mega Allied Services	6950 S Tucson Way #-c	Englewood	CO	80112	USA	15-1235684	303-290-5086	303-290-8688	fernando@schmeidler.com	531190			9918.77
Cal State Glass & Mirror Co	49 S Main St	Pleasantville	NJ	08232	USA	40-1237886	609-641-3190	609-641-6107	helene@gaulzetti.com				29911.72
Moschitto Trim & Jewelry Co	900 Front St	San Francisco	CA	94111	USA	14-1235462	415-956-5016	415-956-6664	tiffany@bintliff.com	541310			5116.45
Diamond Shamrock Real Est Dept	779 Hartford Tpke	Shrewsbury	MA	01545	USA	28-1236750	508-842-5474	508-842-1919	vito@pedez.com	813319	Y	1	51933.02
Riley Riper Hollin & Colagreco	9 W Central Ave	Phoenix	AZ	85013	USA	13-1234758	602-896-2993	602-575-3457	elke_sengbusch@yahoo.com	522292		2	50959.52
Plaza Nine	1888 Century Park E	Los Angeles	CA	90067	USA	14-1235463	310-553-8257	310-553-9572	mara@liechty.com	541490	Y	1	
Mason Candlelight Co	8632 Old Ardmore Rd	Hyattsville	MD	20785	USA	29-1236874	301-773-9007	301-773-4006	armand@dampier.com	813910		1	15000.00
Doerr, Fred L Cpa	955 Commerce Dr	Perrysburg	OH	43551	USA	44-1238758	419-874-5764	419-874-8627	janelle@yearta.com	813211		1	1735.88
Grant County Glass	133 Centre	Middleboro	MA	02346	USA	28-1236749	508-946-0947	508-946-5378	sharlene@lauridsen.com	813110		1	25277.02
Lett, Marvin H Esq	2150 S Kalamath St	Denver	CO	80223	USA	15-1235738	303-936-5828	303-936-4762	katina@selin.com	311223		1	1462.71
Prospect Florist	67 Mechanic St	Attleboro	MA	02703	USA	28-1236746	508-226-6231	508-226-9811	warren@hibbitts.com	561720		1	48.72
Orlite Applncs & Elec Miami	15a W Pine St	Lodi	CA	95240	USA	14-1235464	209-369-7492	209-369-2707	tillie@crenshaw.com	813110	Y	1	952.03
Wmmt Radio Station	26 Montgomery St	Atlanta	GA	30328	USA	19-1236177	770-679-4752	770-930-9967	renea@hotmail.com	811121		2	41460.98
Merlin Electric Co	9 Norristown Rd	Troy	NY	12180	USA	43-1238609	518-497-2940	518-931-7852	hdemesa@cox.net	444220		1	2454.62
Ban Inc	40 Beach St #-105	Manchester	MA	01944	USA	28-1236748	978-526-6789	978-526-6846	emile@carpente.com	524210		1	964.47
Nazette Marner Good Wendt	72 Southern Blvd	Mesa	AZ	85204	USA	13-1234759	480-293-2882	480-866-6544	iluminada.ohms@yahoo.com			1	1619.54
Schott Fiber Optics Inc	96950 Hidden Ln	Aberdeen	MD	21001	USA	29-1236970	410-739-9277	410-259-2118	detra@aol.com	713990		1	729438.75
Lane Promotions	9648 S Main	Salisbury	MD	21801	USA	29-1236971	410-351-1863	410-951-2667	reena@hotmail.com	541219		1	90740.72
Mainline Pipe Service	244 Pedretti Ave	Cincinnati	OH	45238	USA	44-1238755	513-251-0996	513-251-3566	nettie@carothers.com	811111		2	1108324.82
Hughes Consulting	278 Court St	Plymouth	MA	02360	USA	28-1236747	508-746-1301	508-746-5855	casandra@mountjoy.com	611310		1	344.10
