Id	Code	Province	County	City
1	99501	AK	Anchorage	Anchorage
2	99502	AK	Anchorage	Anchorage
3	99503	AK	Anchorage	Anchorage
4	99504	AK	Anchorage	Anchorage
5	99505	AK	Anchorage	Fort Richardson
6	99506	AK	Anchorage	Elmendorf AFB
7	99507	AK	Anchorage	Anchorage
8	99508	AK	Anchorage	Anchorage
9	99509	AK	Anchorage	Anchorage
10	99510	AK	Anchorage	Anchorage
11	99511	AK	Anchorage	Anchorage
12	99513	AK	Anchorage	Anchorage
13	99514	AK	Anchorage	Anchorage
14	99515	AK	Anchorage	Anchorage
15	99516	AK	Anchorage	Anchorage
16	99517	AK	Anchorage	Anchorage
17	99518	AK	Anchorage	Anchorage
18	99519	AK	Anchorage	Anchorage
19	99520	AK	Anchorage	Anchorage
20	99521	AK	Anchorage	Anchorage
21	99522	AK	Anchorage	Anchorage
22	99523	AK	Anchorage	Anchorage
23	99524	AK	Anchorage	Anchorage
24	99529	AK	Anchorage	Anchorage
25	99530	AK	Anchorage	Anchorage
26	99540	AK	Anchorage	Indian
27	99545	AK	Bethel	Kongiganak
28	99546	AK	Aleutians West	Adak
29	99547	AK	Aleutians West	Atka
30	99548	AK	Lake And Peninsula	Chignik Lake
31	99549	AK	Lake And Peninsula	Port Heiden
32	99550	AK	Kodiak Island	Port Lions
33	99551	AK	Bethel	Akiachak
34	99552	AK	Bethel	Akiak
35	99553	AK	Aleutians East	Akutan
36	99554	AK	Wade Hampton	Alakanuk
37	99555	AK	Dillingham	Aleknagik
38	99556	AK	Kenai Peninsula	Anchor Point
39	99557	AK	Bethel	Aniak
40	99558	AK	Yukon Koyukuk	Anvik
41	99559	AK	Bethel	Bethel
42	99561	AK	Bethel	Chefornak
43	99563	AK	Wade Hampton	Chevak
44	99564	AK	Lake And Peninsula	Chignik
45	99565	AK	Lake And Peninsula	Chignik Lagoon
46	99566	AK	Valdez Cordova	Chitina
47	99567	AK	Anchorage	Chugiak
48	99568	AK	Kenai Peninsula	Clam Gulch
49	99569	AK	Dillingham	Clarks Point
50	99571	AK	Aleutians East	Cold Bay
51	99572	AK	Kenai Peninsula	Cooper Landing
52	99573	AK	Valdez Cordova	Copper Center
53	99574	AK	Valdez Cordova	Cordova
54	99575	AK	Bethel	Crooked Creek
55	99576	AK	Dillingham	Dillingham
56	99577	AK	Anchorage	Eagle River
57	99578	AK	Bethel	Eek
58	99579	AK	Lake And Peninsula	Egegik
59	99580	AK	Dillingham	Ekwok
60	99581	AK	Wade Hampton	Emmonak
61	99583	AK	Aleutians East	False Pass
62	99585	AK	Wade Hampton	Marshall
63	99586	AK	Valdez Cordova	Gakona
64	99587	AK	Anchorage	Girdwood
65	99588	AK	Valdez Cordova	Glennallen
66	99589	AK	Bethel	Goodnews Bay
67	99590	AK	Yukon Koyukuk	Grayling
68	99591	AK	Aleutians West	Saint George Island
69	99599	AK	Anchorage	Anchorage
70	99602	AK	Yukon Koyukuk	Holy Cross
71	99603	AK	Kenai Peninsula	Homer
72	99604	AK	Wade Hampton	Hooper Bay
73	99605	AK	Kenai Peninsula	Hope
74	99606	AK	Lake And Peninsula	Iliamna
75	99607	AK	Bethel	Kalskag
76	99608	AK	Kodiak Island	Karluk
77	99609	AK	Bethel	Kasigluk
78	99610	AK	Kenai Peninsula	Kasilof
